"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000081649",3.39799291814641,4.34905679352432,334.658788523329,9.29219226816113e-75,1.02399958795136e-71,53,147,162,712,1238,1374,"Olfr213","olfactory receptor 213"
"3","ENSMUSG00000046431",2.50649331795308,4.24259910489702,156.774658361853,5.7331100333491e-36,3.15894362837535e-33,101,211,270,798,981,1071,"Olfr518","olfactory receptor 518"
"4","ENSMUSG00000070375",2.79720307979613,3.36233618810463,142.063052550033,9.42094679814061e-33,3.46062779051698e-30,53,83,126,460,543,592,"Olfr406","olfactory receptor 406"
"5","ENSMUSG00000094182",3.07766314752957,2.66936000826091,132.185637985967,1.36262323670598e-30,3.75402701712497e-28,35,44,50,248,280,500,"Olfr937","olfactory receptor 937"
"6","ENSMUSG00000095377",2.74236401644315,2.66958156730241,118.642027557933,1.25442701375206e-27,2.71033973907425e-25,34,59,70,230,376,378,"Olfr91","olfactory receptor 91"
"7","ENSMUSG00000075085",2.4970791946076,4.02789579808194,118.319817484718,1.47568406846148e-27,2.71033973907425e-25,64,202,259,576,935,925,"Olfr1242","olfactory receptor 1242"
"8","ENSMUSG00000070374",2.12042612731344,3.73567521776164,115.071606128894,7.59064620875909e-27,1.19498458886465e-24,125,167,195,607,714,592,"Olfr59","olfactory receptor 59"
"9","ENSMUSG00000043226",2.84324604658805,2.9732794542263,104.063950092301,1.95890207984938e-24,2.69838761499252e-22,31,65,98,338,280,626,"Olfr1009","olfactory receptor 1009"
"10","ENSMUSG00000100016",3.0253404852178,2.07474312097582,96.443002419512,9.1850359217723e-23,1.12465662064367e-20,15,36,42,181,215,269,"Olfr1215","olfactory receptor 1215"
"12","ENSMUSG00000062434",2.11653138174789,3.30657220276428,82.3305867343413,1.15126691574904e-19,1.26869614115544e-17,91,78,201,519,252,679,"Olfr516","olfactory receptor 516"
"13","ENSMUSG00000069390",2.41881389376119,2.83641448123178,77.6570103140394,1.22580467190615e-18,1.22803340767325e-16,32,80,126,265,347,451,"Olfr707","olfactory receptor 707"
"14","ENSMUSG00000056600",2.03498135798323,3.34157850221941,77.340550736851,1.4388143711473e-18,1.3213111975036e-16,124,115,140,340,611,501,"Olfr90","olfactory receptor 90"
"15","ENSMUSG00000075084",2.8732267695054,3.08299357507932,73.1328402120758,1.21210832345625e-17,1.02749490188368e-15,19,106,94,320,622,349,"Olfr1243","olfactory receptor 1243"
"17","ENSMUSG00000061342",2.54455261714589,1.4876175178302,66.0714687440582,4.34865292369053e-16,3.4230110870764e-14,18,24,39,118,147,156,"Olfr1168","olfactory receptor 1168"
"18","ENSMUSG00000111715",2.37766793955039,2.42552398211631,64.965933239119,7.62041649195208e-16,5.41339063427405e-14,36,51,87,222,314,256,"Olfr1246","olfactory receptor 1246"
"19","ENSMUSG00000070855",2.35122013913529,1.75711572074789,64.9050016353695,7.85973231836522e-16,5.41339063427405e-14,23,55,31,129,211,153,"Olfr1116","olfactory receptor 1116"
"20","ENSMUSG00000060503",1.62155952814528,3.5592586353025,62.0807184746266,3.29663527570726e-15,2.13699533754671e-13,112,207,265,427,534,612,"Olfr715","olfactory receptor 715"
"21","ENSMUSG00000045581",2.23102426576242,2.04992123873241,61.5921230214174,4.22505495278807e-15,2.58667253220692e-13,17,49,75,63,259,291,"Olfr710","olfactory receptor 710"
"24","ENSMUSG00000075163",2.27617342834204,1.55215492923137,57.1281098366362,4.08327515363428e-14,2.36829958910788e-12,22,35,39,103,188,136,"Olfr1107","olfactory receptor 1107"
"25","ENSMUSG00000050813",1.89741103658427,5.46419714568891,56.5330362493021,5.52620812661885e-14,3.04494067776699e-12,290,922,744,1720,1598,2849,"Olfr332","olfactory receptor 332"
"29","ENSMUSG00000096151",1.38604210847715,4.62616268295915,48.8194398390618,2.80644339423312e-12,1.47271458116424e-10,235,529,613,795,1365,965,"Olfr477","olfactory receptor 477"
"31","ENSMUSG00000096747",3.01688788668009,0.610529338661881,46.6257751069326,8.59226228076559e-12,4.30394228791076e-10,6,20,7,46,87,103,"Olfr823","olfactory receptor 823"
"33","ENSMUSG00000045202",1.86277611516903,2.74559279019373,45.7655463705698,1.3328733051655e-11,6.38620166214079e-10,45,128,124,257,338,323,"Olfr123","olfactory receptor 123"
"34","ENSMUSG00000095804",2.20314981271332,1.35400044503973,45.5878656333886,1.45942897620211e-11,6.70121138239469e-10,17,30,41,80,167,121,"Olfr824","olfactory receptor 824"
"35","ENSMUSG00000068818",2.66269315289672,1.11219656623875,45.1984735931578,1.78043802067303e-11,7.84817079512672e-10,5,48,13,60,162,93,"Olfr1132","olfactory receptor 1132"
"37","ENSMUSG00000089717",3.32528223277024,0.0681687644635699,42.8255727286954,5.98447055892717e-11,2.53649482920682e-09,4,7,6,69,34,61,"Olfr275","olfactory receptor 275"
"39","ENSMUSG00000061616",1.30918378324444,3.87569882115865,41.588115730909,1.12676133049483e-10,4.59885550446408e-09,160,348,336,486,531,848,"Olfr12","olfactory receptor 12"
"40","ENSMUSG00000059411",2.376878257661,1.08941289069585,41.0219043793162,1.50532624345724e-10,5.92453400103528e-09,23,11,35,101,101,108,"Olfr434","olfactory receptor 434"
"41","ENSMUSG00000073896",1.41490434151866,4.52021664351768,38.7431209106341,4.83410880137206e-10,1.83696134452138e-08,271,461,501,1162,897,880,"Olfr716","olfactory receptor 716"
"44","ENSMUSG00000053251",1.33283079828608,3.86324093618013,36.7749203433665,1.32584936269556e-09,4.87028665896836e-08,143,374,304,527,810,474,"Olfr212","olfactory receptor 212"
"45","ENSMUSG00000094295",1.99099477088474,1.20389439451531,36.6664364465009,1.40172148862536e-09,4.98289380795209e-08,29,34,25,126,86,110,"Olfr819","olfactory receptor 819"
"48","ENSMUSG00000049041",1.34930109890502,3.27082962616458,35.247018715927,2.90426345571068e-09,1.00015572756037e-07,91,252,209,298,444,471,"Olfr398","olfactory receptor 398"
"51","ENSMUSG00000083947",1.69965731293743,3.450940685874,34.450368470217,4.37259998987637e-09,1.46018339055872e-07,100,163,252,610,359,509,"Olfr122","olfactory receptor 122"
"53","ENSMUSG00000051258",1.49280097865576,3.62746345097208,33.25971200426,8.06360239081189e-09,2.61355583372785e-07,142,183,306,651,302,691,"Olfr1362","olfactory receptor 1362"
"54","ENSMUSG00000070856",1.79099597523368,2.07418735610175,33.1422378478972,8.56576369031738e-09,2.69699188192279e-07,27,60,104,104,265,203,"Olfr1115","olfactory receptor 1115"
"61","ENSMUSG00000070852",2.95085999443079,0.149075910929257,30.6801628350245,3.04259802271427e-08,9.31373061397535e-07,3,7,14,42,85,40,"Olfr1121","olfactory receptor 1121"
"64","ENSMUSG00000067186",0.852283581559446,3.90566857073949,28.502467557584,9.35791493815648e-08,2.78714115185093e-06,320,328,394,594,506,614,"Olfr132","olfactory receptor 132"
"71","ENSMUSG00000094539",1.76849600677056,2.06615536979643,26.6514324621864,2.43670069306529e-07,7.06643200988934e-06,29,72,93,177,220,163,"Olfr191","olfactory receptor 191"
"72","ENSMUSG00000075159",1.0401342121775,3.85130806658776,26.4518139625221,2.70194629174116e-07,7.63473029102246e-06,204,378,354,580,561,563,"Olfr1110","olfactory receptor 1110"
"77","ENSMUSG00000091601",1.43719724786754,3.94694697116026,24.4992703804245,7.43379820590516e-07,2.04801140572687e-05,91,532,289,513,829,538,"Olfr93","olfactory receptor 93"
"80","ENSMUSG00000048197",4.11871079508127,-0.945477483982394,24.1313665243073,8.99826268642133e-07,2.41855743425276e-05,0,6,0,7,42,29,"Olfr1153","olfactory receptor 1153"
"81","ENSMUSG00000073898",1.6502649563166,2.00082720782849,24.0165832521019,9.55095369767801e-07,2.50598832734314e-05,41,59,85,230,104,207,"Olfr713","olfactory receptor 713"
"96","ENSMUSG00000062497",1.14518220229586,3.48526303280514,21.7202877940743,3.15437631816725e-06,8.08400628516351e-05,136,277,285,447,367,548,"Olfr1411","olfactory receptor 1411"
"118","ENSMUSG00000069430",1.13505310923366,2.01630407735358,18.8767023520324,1.39445347215371e-05,0.00034924721052577,68,65,116,130,159,202,"Olfr9","olfactory receptor 9"
"122","ENSMUSG00000049674",1.8427951968331,0.318557983326474,18.6497991856573,1.57063815119555e-05,0.000384631831692777,17,10,25,68,50,48,"Olfr714","olfactory receptor 714"
"142","ENSMUSG00000075068",-0.390105814996413,6.86037434805497,16.5743133338152,4.67803535325143e-05,0.00112069455636589,2180,3705,7469,1627,2552,4909,"Olfr140","olfactory receptor 140"
"143","ENSMUSG00000044286",1.63127341122234,1.72075901762792,16.4561910135884,4.97873259509621e-05,0.00115585031721039,39,47,54,174,49,238,"Olfr221","olfactory receptor 221"
"144","ENSMUSG00000037924",0.859481490692823,3.07276936059851,16.4350533817102,5.03455673558065e-05,0.00115585031721039,146,201,241,296,312,350,"Olfr16","olfactory receptor 16"
"180","ENSMUSG00000049561",2.05369130142899,0.0641010290057803,14.4622153700365,0.000142999417541073,0.00321602771694413,5,22,11,28,32,85,"Olfr95","olfactory receptor 95"
"184","ENSMUSG00000110947",1.27441308016428,0.835147453177356,14.3726361649816,0.000149965859796664,0.00330524754991847,28,49,20,50,116,51,"Olfr1333","olfactory receptor 1333"
"190","ENSMUSG00000095910",1.49429258388005,0.514797556167043,14.2183253953057,0.000162777569176899,0.00351727218103809,12,37,24,56,70,52,"Olfr469","olfactory receptor 469"
"201","ENSMUSG00000060057",1.40394144152819,0.887832878622378,13.8533492422826,0.000197644161046286,0.00418853587448091,15,41,45,75,78,76,"Olfr193","olfactory receptor 193"
"206","ENSMUSG00000107677",1.03896505664067,1.54873288779769,13.7441027769489,0.000209477446722261,0.00435554992996097,58,46,79,127,70,153,"Olfr316","olfactory receptor 316"
"210","ENSMUSG00000108534",1.35859456525249,0.948846057200708,13.5451940549403,0.000232886995816162,0.0047526198035076,27,30,45,107,73,61,"Olfr1360","olfactory receptor 1360"
"228","ENSMUSG00000073950",0.662110243147077,3.65712195497566,13.0897942189517,0.00029690896618262,0.00594897601333177,296,214,463,369,375,641,"Olfr599","olfactory receptor 599"
"256","ENSMUSG00000075073",1.41443592180008,2.15738834875577,12.4946544958069,0.000408118102395997,0.00803118122929265,22,102,148,149,217,175,"Olfr1256","olfactory receptor 1256"
"263","ENSMUSG00000061984",1.03852199162836,1.30115594678763,12.2975878004053,0.000453544085217299,0.00876851898086778,37,66,51,84,122,81,"Olfr392","olfactory receptor 392"
"289","ENSMUSG00000060030",1.21954743193043,0.726317544991795,11.8694290813186,0.00057062902470301,0.0108299539518146,22,28,42,50,42,114,"Olfr317","olfactory receptor 317"
"291","ENSMUSG00000042869",0.787059929186694,3.40769558135237,11.8396567830043,0.000579825120832177,0.0108299539518146,180,275,311,434,343,408,"Olfr1370","olfactory receptor 1370"
"295","ENSMUSG00000050654",1.32266817479009,1.06982700716621,11.7023190666946,0.000624222521947559,0.0114648869864368,21,56,40,77,62,122,"Olfr215","olfactory receptor 215"
"311","ENSMUSG00000059189",1.48972770885544,1.36694253430289,11.2480447263669,0.000797069358741727,0.0143995153005473,19,44,75,131,116,77,"Olfr913","olfactory receptor 913"
"325","ENSMUSG00000095301",1.19098494183374,1.55530821357452,10.9053358157194,0.000958876548366506,0.0169824273109922,24,63,100,110,115,122,"Olfr476","olfactory receptor 476"
"326","ENSMUSG00000075377",0.883263027747867,2.06670260031976,10.8823216578901,0.000970864719230951,0.0169824273109922,100,107,72,211,142,122,"Olfr362","olfactory receptor 362"
"338","ENSMUSG00000052012",1.09497332090159,3.04332382662211,10.7395159771862,0.00104871760974878,0.0180576063428618,101,200,206,463,239,291,"Olfr796","olfactory receptor 796"
"362","ENSMUSG00000093920",0.942470937823841,2.51557400078416,10.3691443724655,0.00128138921024627,0.0217244755337137,69,131,200,207,218,225,"Olfr463","olfactory receptor 463"
"370","ENSMUSG00000094200",0.845806839156261,2.13380618165116,10.2553884419722,0.001362859337932,0.0227556210666828,71,114,122,151,149,196,"Olfr237","olfactory receptor 237"
"405","ENSMUSG00000107417",0.727433409299734,4.00020929734404,9.62937094122515,0.00191490183291605,0.0314958480578132,211,980,124,445,862,240,"Olfr1383","olfactory receptor 1383"
"431","ENSMUSG00000070857",1.45183634589467,0.349200659001074,9.29415915039929,0.00229885633480793,0.0372549953082109,8,23,37,60,37,60,"Olfr1113","olfactory receptor 1113"
"473","ENSMUSG00000043605",0.982708689417777,1.05847787027578,8.84011783009782,0.00294680119572059,0.0470634046041173,30,54,51,81,71,87,"Olfr13","olfactory receptor 13"
"490","ENSMUSG00000063374",1.34294208120864,0.444842779642658,8.60660649339313,0.00334945794172883,0.0515890214678428,9,20,50,57,32,75,"Olfr763","olfactory receptor 763"
"491","ENSMUSG00000094673",-0.994134443192876,1.08153135254301,8.60588494697248,0.0033507851679756,0.0515890214678428,41,93,135,20,59,42,"Olfr1354","olfactory receptor 1354"
"496","ENSMUSG00000063176",1.10180134830048,0.652259081511505,8.59514293344454,0.00337060757321659,0.0515890214678428,13,44,39,41,92,49,"Olfr955","olfactory receptor 955"
"550","ENSMUSG00000046016",0.82539353068778,4.13472318666007,8.21588939477402,0.00415251574685099,0.0626859226442437,232,516,504,694,392,927,"Olfr1364","olfactory receptor 1364"
"560","ENSMUSG00000073768",0.715376090510395,2.76716676114228,8.14587991848836,0.00431591076677279,0.0642720765538326,119,198,172,224,347,174,"Olfr1330","olfactory receptor 1330"
"574","ENSMUSG00000063994",1.05970004155175,2.40899933824664,8.06746056178047,0.00450672332965405,0.0662187881237168,57,109,173,273,115,249,"Olfr120","olfactory receptor 120"
"625","ENSMUSG00000073897",0.429727781204302,3.90168856184777,7.69969977051356,0.0055230011353505,0.0800835164625823,298,408,547,367,513,655,"Olfr17","olfactory receptor 17"
"666","ENSMUSG00000047702",0.887037979285803,1.73482118224085,7.54441461786465,0.00601963753212339,0.0861511761090906,47,84,97,147,99,131,"Olfr1388","olfactory receptor 1388"
"691","ENSMUSG00000094285",0.727284814524612,5.35432359922487,7.39107191850665,0.0065548413628834,0.0925434658388783,574,1102,1391,1762,1589,1092,"Olfr743","olfactory receptor 743"
"696","ENSMUSG00000053146",2.18470063972973,-1.83907288187803,7.36941773002181,0.00663424119897585,0.0925434658388783,5,1,2,11,11,10,"Olfr352","olfactory receptor 352"
"711","ENSMUSG00000045708",1.0927892519055,0.24015016583524,7.29539058879323,0.00691317391120139,0.0952289706267992,18,26,26,54,36,47,"Olfr447","olfactory receptor 447"
"714","ENSMUSG00000048378",0.967052855925933,0.577253130602097,7.24992196803779,0.00709040933377326,0.0964645813063967,25,27,43,36,65,70,"Olfr1394","olfactory receptor 1394"
"744","ENSMUSG00000056995",0.886146346670659,1.38728506456859,7.08908183696492,0.00775549706306254,0.104226314188962,22,83,83,72,103,112,"Olfr1178","olfactory receptor 1178"
"796","ENSMUSG00000075146",0.869333789318154,0.870133147976727,6.88329851302904,0.00870048505500189,0.114439986705691,25,55,38,33,112,62,"Olfr1154","olfactory receptor 1154"
"799","ENSMUSG00000095809",0.88215344673346,1.3052291933758,6.87863965674284,0.00872319317901821,0.114439986705691,23,86,60,67,142,64,"Olfr1290","olfactory receptor 1290"
"847","ENSMUSG00000043314",0.49257953095775,3.78219501834491,6.687571690194,0.00970873617462626,0.12587090899339,253,352,534,442,369,621,"Olfr30","olfactory receptor 30"
"909","ENSMUSG00000068431",0.538745893656689,4.75149484588013,6.45808623549044,0.0110448536339271,0.138929700497541,543,750,811,1053,1129,641,"Olfr742","olfactory receptor 742"
"910","ENSMUSG00000044120",0.806333017037368,1.17425994436358,6.4523955076843,0.0110802846910799,0.138929700497541,31,50,71,42,66,153,"Olfr683","olfactory receptor 683"
"915","ENSMUSG00000049098",0.833362383827922,0.942412510223491,6.43078856214517,0.0112158772377883,0.138929700497541,30,58,43,69,88,54,"Olfr147","olfactory receptor 147"
"916","ENSMUSG00000043892",0.500122620476093,4.55049154190162,6.43009222302766,0.0112202752670428,0.138929700497541,402,648,905,803,721,885,"Olfr1018","olfactory receptor 1018"
"924","ENSMUSG00000058513",0.7561235362561,1.93104516683941,6.39697440660388,0.0114315020037818,0.139972391201862,77,103,87,194,113,115,"Olfr801","olfactory receptor 801"
"967","ENSMUSG00000094755",-4.21320974025545,-3.30107954225095,6.26038077606945,0.0123467663585132,0.149517983814083,3,1,3,0,0,0,"Olfr1453","olfactory receptor 1453"
"1000","ENSMUSG00000096485",1.23157950556989,-0.271337800056509,6.16966586194996,0.0129959152365982,0.155354506153719,7,21,17,28,48,20,"Olfr1466","olfactory receptor 1466"
"1005","ENSMUSG00000062987",0.912061980925512,1.5384014550289,6.15114163247762,0.0131327300530376,0.155354506153719,26,105,74,106,125,87,"Olfr715b","olfactory receptor 715B"
"1018","ENSMUSG00000073955",3.30169078458328,-2.95839730848468,6.12547659192498,0.0133247361163701,0.155354506153719,1,0,0,5,3,3,"Olfr593","olfactory receptor 593"
"1025","ENSMUSG00000054666",0.696475927130211,1.43440288415131,6.11457738284142,0.0134071465429737,0.155354506153719,50,63,87,91,85,116,"Olfr63","olfactory receptor 63"
"1031","ENSMUSG00000075164",0.697653954874523,1.42050237494853,6.09798585771971,0.013533604891794,0.155354506153719,53,63,80,79,110,100,"Olfr1106","olfactory receptor 1106"
"1039","ENSMUSG00000056863",0.790043472238204,1.10117056085363,6.07388343540964,0.0137194995467867,0.15586482990267,34,54,64,78,70,87,"Olfr702","olfactory receptor 702"
"1061","ENSMUSG00000096822",2.67536041652478,-2.17986650000675,5.97462894472199,0.0145131347984377,0.16319871987631,0,6,0,7,12,4,"Olfr344","olfactory receptor 344"
"1090","ENSMUSG00000062314",0.860449974865037,0.696874120404631,5.88568008406591,0.0152645010359646,0.169913940824576,30,37,39,50,86,45,"Olfr1505","olfactory receptor 1505"
"1151","ENSMUSG00000074945",-1.76532767395539,-1.55809436198056,5.7392638906465,0.0165897438098127,0.181435375672143,9,10,22,1,5,5,"Olfr1314","olfactory receptor 1314"
"1157","ENSMUSG00000094347",0.819481824045277,0.708635774071653,5.73513053651123,0.0166288320715848,0.181435375672143,36,28,49,55,61,63,"Olfr784","olfactory receptor 784"
"1170","ENSMUSG00000094133",1.30079979671994,-0.35646775642664,5.7011259096655,0.0169540338470217,0.183170051955078,13,9,16,11,33,52,"Olfr1431","olfactory receptor 1431"
"1206","ENSMUSG00000062037",0.437822358035562,4.1741721588178,5.61329027116669,0.0178247631008759,0.189470449788422,343,445,761,545,609,666,"Olfr285","olfactory receptor 285"
"1209","ENSMUSG00000075091",0.740927751509172,1.42101869196975,5.6077646993971,0.0178810587822104,0.189470449788422,51,67,72,121,94,77,"Olfr1233","olfactory receptor 1233"
"1219","ENSMUSG00000107822",0.990061920628859,0.508118666806075,5.58217576569837,0.0181441675499015,0.190427358476109,18,36,34,46,32,88,"Olfr1358","olfactory receptor 1358"
"1287","ENSMUSG00000091531",1.05119036894496,-0.0114036677769123,5.43282288893852,0.0197617099732051,0.205447211230868,15,17,28,37,45,30,"Olfr102","olfactory receptor 102"
"1361","ENSMUSG00000069998",-0.936084566064252,0.733739891320086,5.2379662985098,0.0220990931880009,0.22760000647829,46,44,124,33,30,28,"Olfr372","olfactory receptor 372"
"1408","ENSMUSG00000096365",0.812901006622413,3.1202115318026,5.13323855157618,0.0234718931146279,0.239500242706666,88,280,273,371,338,237,"Olfr1463","olfactory receptor 1463"
"1431","ENSMUSG00000044994",0.596297773437514,2.7083547072446,5.08665046239683,0.0241107172428418,0.243593987225651,64,244,227,144,276,250,"Olfr1426","olfactory receptor 1426"
"1445","ENSMUSG00000066672",0.923573172066405,0.586865734833659,5.06485342994126,0.02441577000198,0.243593987225651,10,38,58,41,44,79,"Olfr417","olfactory receptor 417"
"1451","ENSMUSG00000044798",-0.584399437736706,1.98491168491954,5.0563234322724,0.0245362364628378,0.243593987225651,109,152,199,71,105,100,"Olfr923","olfactory receptor 923"
"1489","ENSMUSG00000075144",3.81938861422516,-3.45905289956463,5.0064458858982,0.0252531010900258,0.248472476796504,0,0,0,0,2,3,"Olfr1156","olfactory receptor 1156"
"1573","ENSMUSG00000044801",2.39148102541976,-2.63585648711809,4.9170351988101,0.0265931151435859,0.259341706975501,2,0,1,5,6,4,"Olfr159","olfactory receptor 159"
"1582","ENSMUSG00000094254",0.630335449436616,1.58633098229518,4.88759792796996,0.0270502964099776,0.261486198629783,58,79,86,82,146,92,"Olfr969","olfactory receptor 969"
"1692","ENSMUSG00000095608",0.800448334485463,0.433904147113658,4.7023286840179,0.0301217785880256,0.288645217426124,30,31,30,40,63,44,"Olfr247","olfactory receptor 247"
"1771","ENSMUSG00000061210",0.693217311806649,1.15335522140716,4.61575073032398,0.0316796252628646,0.299127374935188,31,77,58,70,87,77,"Olfr47","olfactory receptor 47"
"1778","ENSMUSG00000057270",0.617060880582555,1.73732859713256,4.60729851596702,0.0318361485511138,0.299127374935188,51,93,116,108,108,134,"Olfr1501","olfactory receptor 1501"
"1786","ENSMUSG00000109354",0.621607202603706,1.84004844520661,4.59689194154604,0.0320299729966898,0.299127374935188,55,134,83,119,167,87,"Olfr706","olfactory receptor 706"
"1808","ENSMUSG00000110970",0.612867630638038,1.42372846035079,4.55755502087777,0.0327738291815178,0.301976419177571,33,59,118,47,97,140,"Olfr156","olfactory receptor 156"
"1814","ENSMUSG00000059821",0.754537719656077,0.62026451260259,4.55185542016422,0.0328830946472854,0.301976419177571,37,31,39,46,67,53,"Olfr847","olfactory receptor 847"
"1837","ENSMUSG00000045474",0.548241224208441,2.78341905300549,4.52534577250847,0.0333963263607303,0.304154972310122,103,219,236,213,265,230,"Olfr1368","olfactory receptor 1368"
"1864","ENSMUSG00000071481",0.775900209771722,0.511013121885293,4.47256617043809,0.034443224677961,0.311118308156664,19,48,33,33,57,63,"Olfr437","olfactory receptor 437"
"1915","ENSMUSG00000063660",3.96195199803201,-3.29530209309431,4.39815635801014,0.035977804477502,0.322337727920384,0,0,0,7,0,0,"Olfr98","olfactory receptor 98"
"1938","ENSMUSG00000095075",1.40372586557597,-1.06005668034892,4.37747956447795,0.0364168095204813,0.32363971041589,14,2,8,21,20,12,"Olfr782","olfactory receptor 782"
"2276","ENSMUSG00000061875",0.786094605837726,0.904927749836435,4.00608593959687,0.0453362830499175,0.39417111656165,17,44,81,52,78,66,"Olfr1148","olfactory receptor 1148"
"2277","ENSMUSG00000109058",0.564852857645977,1.82872759182542,4.00451019398103,0.0453786804619085,0.39417111656165,57,90,137,99,138,130,"Olfr705","olfactory receptor 705"
"2281","ENSMUSG00000050803",-1.50232410039435,-1.7659831041452,4.00274392081109,0.0454262539050178,0.39417111656165,10,13,9,2,7,2,"Olfr866","olfactory receptor 866"
"2321","ENSMUSG00000051952",1.8714770768712,-1.81204190088794,3.96076895057495,0.0465724242709254,0.400959465207498,4,0,6,11,14,6,"Olfr371","olfactory receptor 371"
"2375","ENSMUSG00000067545",0.757612144846966,0.293605583646971,3.9019960923756,0.048228773721402,0.412000842178178,26,32,26,31,46,55,"Olfr1419","olfactory receptor 1419"
"2427","ENSMUSG00000109322",-0.875542016451231,1.18738236407347,3.88319591131361,0.0487716347768793,0.413433396339392,25,219,59,32,46,31,"Olfr1283","olfactory receptor 1283"
"2497","ENSMUSG00000059504",0.595094336964194,1.17571370805487,3.82731088104508,0.050423770660999,0.420868172037961,40,67,66,67,73,96,"Olfr314","olfactory receptor 314"
"2500","ENSMUSG00000043911",0.793985119051083,0.231314877648045,3.81704459170102,0.0507336506994112,0.420868172037961,9,37,38,25,50,48,"Olfr922","olfactory receptor 922"
"2502","ENSMUSG00000075194",1.67669926154851,-1.8344098436057,3.81503860702404,0.0507944345563056,0.420868172037961,7,4,0,8,17,4,"Olfr1049","olfactory receptor 1049"
"2545","ENSMUSG00000048391",0.58776946790607,1.01984601028348,3.76617281282601,0.0522991691560397,0.430102122462356,42,58,54,59,72,80,"Olfr843","olfactory receptor 843"
"2619","ENSMUSG00000074965",0.645196563401993,0.700071617858918,3.72434075385201,0.0536247925727956,0.437737195668302,23,50,47,36,74,60,"Olfr1277","olfactory receptor 1277"
"2653","ENSMUSG00000050776",-0.799881530498695,0.0529988161428269,3.70906890743184,0.0541175716164095,0.438511499421201,20,42,59,10,27,26,"Olfr1317","olfactory receptor 1317"
"2692","ENSMUSG00000049280",0.472646980609281,2.81205476669918,3.67854470723867,0.0551169380021002,0.443349384513244,146,247,182,231,215,269,"Olfr509","olfactory receptor 509"
"2712","ENSMUSG00000051156",0.581404872537866,1.87612346888725,3.64961921612456,0.0560820320243346,0.44784347312186,48,116,130,111,106,164,"Olfr1491","olfactory receptor 1491"
"2766","ENSMUSG00000071185",0.583905168007867,1.32875033539972,3.58811377355618,0.0581942607758839,0.453675820534607,42,66,87,74,104,82,"Olfr1357","olfactory receptor 1357"
"2777","ENSMUSG00000064333",-3.48809547492184,-3.45933721816208,3.58009391207227,0.0584758453774164,0.453675820534607,5,0,0,0,0,0,"Olfr926","olfactory receptor 926"
"2782","ENSMUSG00000070821",0.433829432227492,3.48146277157306,3.5719078917635,0.0587647575818939,0.453675820534607,170,403,383,332,378,401,"Olfr1340","olfactory receptor 1340"
"2792","ENSMUSG00000075110",0.653206036036657,1.01618450383348,3.56414451670562,0.0590401551240555,0.453675820534607,22,57,77,50,90,69,"Olfr1214","olfactory receptor 1214"
"2795","ENSMUSG00000095239",1.35385742302253,-1.3236401936019,3.56297086056284,0.0590819085711803,0.453675820534607,2,12,5,17,20,6,"Olfr497","olfactory receptor 497"
"2807","ENSMUSG00000094535",3.34386729845282,-3.54478914472892,3.55734458114766,0.0592825028647762,0.453675820534607,0,0,0,4,0,0,"Olfr850","olfactory receptor 850"
"2855","ENSMUSG00000109806",3.34788949619972,-3.54790029586304,3.54002118179416,0.0599046961742074,0.455275690923976,0,0,0,0,0,4,"Olfr663","olfactory receptor 663"
"2942","ENSMUSG00000078624",-0.778203481125693,0.0713201470433192,3.46855338940852,0.0625459868905105,0.471919007171191,31,28,65,16,21,26,"Olfr613","olfactory receptor 613"
"2950","ENSMUSG00000058251",-1.2557398284588,-0.933873950207639,3.45787723043624,0.0629510835337251,0.471919007171191,13,23,24,7,17,2,"Olfr822","olfactory receptor 822"
"2964","ENSMUSG00000054526",0.575329593527109,1.22803527419669,3.44334670498664,0.0635069291746845,0.472869161827718,37,73,66,40,88,122,"Olfr1500","olfactory receptor 1500"
"3026","ENSMUSG00000061361",0.345634885176624,3.99962333576867,3.43064377366782,0.0639971501134608,0.473321204194858,169,566,662,227,799,552,"Olfr168","olfactory receptor 168"
"3095","ENSMUSG00000096566",-0.97487309548321,-0.271995166374843,3.4103063346658,0.0647904179386542,0.473541437461624,6,43,44,0,30,21,"Olfr1306","olfactory receptor 1306"
"3107","ENSMUSG00000073901",0.695821900595237,0.302762804196295,3.40301798562295,0.0650772501031297,0.473541437461624,19,44,25,33,60,35,"Olfr703","olfactory receptor 703"
"3125","ENSMUSG00000063188",0.529620391291573,1.4579536532308,3.3786186988955,0.0660473871098196,0.473541437461624,55,72,89,84,111,87,"Olfr107","olfactory receptor 107"
"3128","ENSMUSG00000057761",-1.93365766364213,-2.64525166356388,3.37550103153537,0.0661724565804467,0.473541437461624,2,4,9,1,1,1,"Olfr1022","olfactory receptor 1022"
"3129","ENSMUSG00000094493",1.15004438318928,-1.25189565204591,3.37542568877756,0.0661754821861072,0.473541437461624,11,4,6,27,7,11,"Olfr700","olfactory receptor 700"
"3176","ENSMUSG00000108995",-0.983529958891029,-0.694187137801712,3.32529169064799,0.0682219117680013,0.481865580557797,22,23,25,5,16,13,"Olfr485","olfactory receptor 485"
"3189","ENSMUSG00000042774",0.551578386957841,1.11885199186017,3.31089258223549,0.0688221016267552,0.481865580557797,38,64,67,59,85,79,"Olfr1353","olfactory receptor 1353"
