"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000060583",4.26862357566713,2.2577600754139,164.369921378874,1.25588773060981e-37,1.38398827913201e-34,15,13,18,178,426,321,"Olfr881","olfactory receptor 881"
"2","ENSMUSG00000061165",3.53030509927955,2.2255910567395,157.951399125414,3.17146900343774e-36,1.74747942089419e-33,13,34,30,191,318,354,"Olfr160","olfactory receptor 160"
"3","ENSMUSG00000044798",2.87015689509,3.34572734127314,142.854370385775,6.32517055552577e-33,2.32344598406313e-30,38,108,97,244,1046,569,"Olfr923","olfactory receptor 923"
"4","ENSMUSG00000096409",4.92728805390864,0.82568328579393,123.415113867053,1.13123812643412e-28,3.116561038326e-26,5,3,3,115,164,66,"Olfr890","olfactory receptor 890"
"5","ENSMUSG00000096356",3.04452802831215,1.67921603530165,103.894896518188,2.13338287747481e-24,4.70197586195448e-22,18,35,19,204,239,136,"Olfr889","olfactory receptor 889"
"8","ENSMUSG00000049015",3.26719947971347,1.28030366979883,89.8008658673429,2.63378986366145e-21,4.83739404959153e-19,3,25,21,80,161,193,"Olfr1467","olfactory receptor 1467"
"10","ENSMUSG00000070377",1.83611582023111,3.67636899221836,82.0875854037063,1.30187778124997e-19,2.04952759276781e-17,172,167,220,446,739,834,"Olfr43","olfactory receptor 43"
"11","ENSMUSG00000042863",2.65177374830151,2.30296745489215,79.8644236329079,4.01002237550251e-19,5.52380582225471e-17,43,45,44,159,391,319,"Olfr1026","olfactory receptor 1026"
"14","ENSMUSG00000095527",4.56805843620678,0.29466109163872,73.6163808366851,9.48740620756415e-18,1.16168018230397e-15,1,9,1,76,99,56,"Olfr888","olfactory receptor 888"
"23","ENSMUSG00000066748",1.94556994101188,2.39398302676938,66.4967390292907,3.50472915272924e-16,3.86221152630762e-14,50,101,72,190,320,331,"Olfr145","olfactory receptor 145"
"56","ENSMUSG00000047048",3.28259846011272,2.03350753352892,53.9009047659843,2.10860581438187e-13,2.11243964313529e-11,2,39,58,153,271,296,"Olfr432","olfactory receptor 432"
"216","ENSMUSG00000044205",1.87125089907316,2.20439298938469,37.7441824619872,8.06568954982514e-10,7.40699156992275e-08,84,93,35,229,230,264,"Olfr983","olfactory receptor 983"
"393","ENSMUSG00000052058",1.71455132005126,2.29441177609229,32.036957981806,1.51267217515394e-08,1.28228056693819e-06,131,98,30,241,339,174,"Olfr901","olfactory receptor 901"
"547","ENSMUSG00000056822",0.741828775478765,4.62407393924524,28.5197818087534,9.27460515588912e-08,7.30043920127844e-06,1008,777,202,1762,1048,387,"Olfr166","olfactory receptor 166"
"584","ENSMUSG00000096167",1.78099805036804,1.54266053826437,27.7337667565703,1.39211458713222e-07,1.02274018334647e-05,55,37,38,117,233,112,"Olfr887","olfactory receptor 887"
"647","ENSMUSG00000073969",1.5110337245099,2.12127621784694,26.7398136893246,2.32775569421362e-07,1.60324173438963e-05,115,76,48,194,285,172,"Olfr556","olfactory receptor 556"
"662","ENSMUSG00000094285",0.63771971819317,5.40840278295005,26.5485283617038,2.57000415882607e-07,1.66596740178019e-05,2161,1266,260,2766,2112,442,"Olfr743","olfactory receptor 743"
"803","ENSMUSG00000064044",1.60622411771698,0.659950597046114,24.5557243745324,7.21915586169652e-07,4.41972764421643e-05,25,30,23,65,89,81,"Olfr319","olfactory receptor 319"
"1019","ENSMUSG00000075166",1.47450209780737,3.64811804110354,22.2101279191282,2.4438127903033e-06,0.000141741141837591,278,312,115,383,730,758,"Olfr1104","olfactory receptor 1104"
"1144","ENSMUSG00000071494",0.772162918171877,3.97070442444978,21.0858926934356,4.39149279311934e-06,0.000241971252900876,390,535,287,556,977,523,"Olfr455","olfactory receptor 455"
"1207","ENSMUSG00000062712",0.840832785892663,3.23964939783964,20.5092474033404,5.93438545749612e-06,0.000304984614916731,193,327,193,363,499,372,"Olfr531","olfactory receptor 531"
"1220","ENSMUSG00000062037",1.22546456104859,3.86624266169019,20.4601368894768,6.08862207637757e-06,0.000304984614916731,470,466,100,659,849,512,"Olfr285","olfactory receptor 285"
"1350","ENSMUSG00000073897",0.887821169636714,3.13963907470383,19.5140887895918,9.98604379791255e-06,0.000474979179486591,204,209,220,361,424,372,"Olfr17","olfactory receptor 17"
"1365","ENSMUSG00000050366",0.974799631040343,3.05566267549573,19.399160741387,1.06053655402662e-05,0.000474979179486591,159,194,219,296,470,353,"Olfr524","olfactory receptor 524"
"1370","ENSMUSG00000054890",1.21700641587502,1.41172688404284,19.368787306456,1.07753897342693e-05,0.000474979179486591,72,66,27,146,176,58,"Olfr1535","olfactory receptor 1535"
"1533","ENSMUSG00000099486",0.899800029314915,3.35986334324676,18.1806674148448,2.00907922192762e-05,0.000851540500986245,218,376,153,509,682,219,"Olfr1228","olfactory receptor 1228"
"1545","ENSMUSG00000056184",1.83753163083581,-0.0268425980251921,18.0932899856045,2.10341374010839e-05,0.000855759781115976,6,26,12,27,77,44,"Olfr283","olfactory receptor 283"
"1572","ENSMUSG00000036658",1.44775174756744,1.33361283525122,17.9435368189961,2.27555805957717e-05,0.000855759781115976,18,67,61,104,151,106,"Olfr11","olfactory receptor 11"
"1575","ENSMUSG00000094488",1.18029400691991,1.34353651780655,17.9355327631613,2.28514752567259e-05,0.000855759781115976,30,72,59,89,148,113,"Olfr393","olfactory receptor 393"
"1586","ENSMUSG00000045341",1.0347242839824,2.25344980115597,17.8988204147549,2.32965457654077e-05,0.000855759781115976,100,158,67,157,352,156,"Olfr167","olfactory receptor 167"
"1609","ENSMUSG00000051180",0.741581496945897,3.61319159168944,17.800139853177,2.45365207724916e-05,0.000870732316442997,210,390,343,345,658,554,"Olfr522","olfactory receptor 522"
"1620","ENSMUSG00000075064",-6.38200701255978,-2.23183968956439,17.7430143412549,2.52844229820108e-05,0.000870732316442997,0,16,16,0,0,0,"Olfr1506","olfactory receptor 1506"
"1722","ENSMUSG00000073768",0.913099446843688,2.55612599015922,17.2016117364479,3.36151040209856e-05,0.00112254074639776,111,194,122,225,298,253,"Olfr1330","olfactory receptor 1330"
"1733","ENSMUSG00000053391",0.702570554948007,3.99664480369901,17.1197398266331,3.50956386212916e-05,0.00113751158119598,402,430,415,587,787,640,"Olfr211","olfactory receptor 211"
"1753","ENSMUSG00000053815",1.27747792336101,1.30928885412345,16.9776714823523,3.78220114241142e-05,0.0011694729253934,21,88,49,86,132,124,"Olfr744","olfactory receptor 744"
"1760","ENSMUSG00000047511",1.2027358275505,1.66158908658865,16.9585834301599,3.82041971997843e-05,0.0011694729253934,56,70,66,134,213,104,"Olfr1396","olfactory receptor 1396"
"1777","ENSMUSG00000049028",1.30119268874093,1.1012518357173,16.889280244785,3.96247325544657e-05,0.00118017446689246,35,42,47,96,132,78,"Olfr873","olfactory receptor 873"
"1947","ENSMUSG00000062105",1.31612116789867,0.739030505285266,16.0176715138397,6.27540045751344e-05,0.0018198661326789,26,61,16,79,110,46,"Olfr183","olfactory receptor 183"
"2000","ENSMUSG00000062782",0.977032933294005,2.8820770950059,15.7399661647047,7.26723772766953e-05,0.00205346050663893,151,194,155,280,518,225,"Olfr527","olfactory receptor 527"
"2041","ENSMUSG00000043314",0.707495009149339,3.4442720651183,15.5393905521306,8.0803841699125e-05,0.00222614583881089,166,463,246,263,693,433,"Olfr30","olfactory receptor 30"
"2091","ENSMUSG00000059366",1.27852531989858,1.71935194696342,15.2897744817387,9.22143403211826e-05,0.00247854153741325,27,92,81,99,264,110,"Olfr959","olfactory receptor 959"
"2112","ENSMUSG00000073898",1.2908572024719,0.66760171773827,15.195262141337,9.69463503629475e-05,0.00254368757380877,26,34,31,55,104,66,"Olfr713","olfactory receptor 713"
"2139","ENSMUSG00000068431",0.62693954928542,4.43421411778351,15.1158131563984,0.000101112762767814,0.00255674270815491,1067,577,206,1337,1023,327,"Olfr742","olfactory receptor 742"
"2143","ENSMUSG00000083361",1.11963586681325,1.99163382375992,15.0977646080821,0.000102084100870069,0.00255674270815491,47,183,57,160,251,128,"Olfr360","olfactory receptor 360"
"2205","ENSMUSG00000048620",1.03009622422132,1.45276513809392,14.8525661533592,0.000116249801015222,0.00284682846041721,48,76,60,112,151,106,"Olfr1336","olfactory receptor 1336"
"2231","ENSMUSG00000051051",0.768649008857267,3.50840278442575,14.7282483606482,0.000124171849362215,0.00297472560863393,205,386,287,431,461,547,"Olfr523","olfactory receptor 523"
"2296","ENSMUSG00000067525",0.776764115741515,4.07890031032818,14.3952127442497,0.000148178538380404,0.0034743138147916,439,475,349,642,1133,478,"Olfr1427","olfactory receptor 1427"
"2330","ENSMUSG00000095903",1.5435115160645,0.22268752055576,14.2669621713632,0.000158624768371589,0.00357927944266464,6,39,19,34,87,46,"Olfr968","olfactory receptor 968"
"2333","ENSMUSG00000073937",1.0177121825331,1.47716644981274,14.2607254414364,0.000159151263784544,0.00357927944266464,48,108,40,86,175,113,"Olfr633","olfactory receptor 633"
"2382","ENSMUSG00000066750",1.17654689843703,0.832890908976412,14.0488974722894,0.000178118225156174,0.00392572568244207,13,58,42,37,106,99,"Olfr876","olfactory receptor 876"
"2399","ENSMUSG00000047286",0.873759024075472,2.7455248361456,13.9701688621591,0.000185734310733764,0.0039665722364802,182,201,102,302,454,156,"Olfr370","olfactory receptor 370"
"2407","ENSMUSG00000049057",0.862880492940941,2.23583293758388,13.9556890373218,0.000187170377764946,0.0039665722364802,96,186,74,174,303,145,"Olfr1257","olfactory receptor 1257"
"2526","ENSMUSG00000061952",1.12266100314234,0.967678656229006,13.518970019068,0.000236163997226737,0.00491042877252574,29,52,41,53,136,82,"Olfr1377","olfactory receptor 1377"
"2540","ENSMUSG00000050865",1.27947611884729,1.04566187194766,13.4610487961779,0.000243567564314063,0.00497058251618699,37,45,34,113,146,43,"Olfr1494","olfactory receptor 1494"
"2576","ENSMUSG00000049648",1.06210612393684,1.2683996020855,13.3298659976818,0.000261212185608325,0.00523374233709771,47,36,75,109,90,118,"Olfr273","olfactory receptor 273"
"2589","ENSMUSG00000050813",0.735978022968644,4.42901040441929,13.2697455138865,0.000269723817752878,0.00530777941363699,1056,703,149,1187,1020,427,"Olfr332","olfactory receptor 332"
"2645","ENSMUSG00000111273",1.05902935154162,1.80230460551172,13.1023906346359,0.000294919178737271,0.00570177078892057,56,87,87,143,217,118,"Olfr789","olfactory receptor 789"
"2692","ENSMUSG00000093920",0.958557725803065,1.46543897245404,12.9999313158339,0.000311502402627905,0.00591854564993019,47,86,60,105,160,102,"Olfr463","olfactory receptor 463"
"2729","ENSMUSG00000048173",1.02614563753935,1.32816272291757,12.8906597291651,0.000330226006819772,0.00616795016127778,33,111,38,91,158,84,"Olfr1324","olfactory receptor 1324"
"2763","ENSMUSG00000095893",1.3113586606901,1.30487108979175,12.7715387992853,0.000351933204997318,0.00646383986511741,11,63,86,65,152,116,"Olfr884","olfactory receptor 884"
"2847","ENSMUSG00000060787",0.79414707256933,2.36739014082992,12.4391449361508,0.000420428219468378,0.00757920176049428,95,178,119,166,285,213,"Olfr464","olfactory receptor 464"
"2851","ENSMUSG00000095765",0.596915741680234,4.23710651964556,12.4127342140939,0.00042641607000966,0.00757920176049428,1131,346,153,1459,607,223,"Olfr741","olfactory receptor 741"
"2924","ENSMUSG00000048067",0.75283871697037,3.06199439420271,12.1527217305195,0.000490162817496786,0.00857395912510251,154,297,200,321,479,273,"Olfr1349","olfactory receptor 1349"
"3015","ENSMUSG00000046450",1.05673018828413,0.823140296359447,11.9288517334541,0.000552712334240911,0.00951701550521069,35,41,39,71,93,73,"Olfr71","olfactory receptor 71"
"3106","ENSMUSG00000051313",0.861481233633544,2.19374924554354,11.6866577640447,0.000629498740346615,0.0106724247978765,115,127,89,171,287,150,"Olfr1262","olfactory receptor 1262"
"3146","ENSMUSG00000073959",1.05189732866214,0.715358336616418,11.5809457963873,0.000666310433972729,0.0111253651248174,29,48,31,59,96,65,"Olfr584","olfactory receptor 584"
"3177","ENSMUSG00000108674",1.06325583242326,1.28490216707485,11.5141699533738,0.000690676653841338,0.0113600846646739,45,60,50,93,179,68,"Olfr1359","olfactory receptor 1359"
"3203","ENSMUSG00000081649",1.00345982062141,1.36676943643597,11.44205412008,0.000718003736121356,0.0116358840765549,75,67,31,121,184,51,"Olfr213","olfactory receptor 213"
"3223","ENSMUSG00000073893",0.710924694673642,2.82078535435916,11.3799123497221,0.000742426204814624,0.0118572996768944,195,244,121,350,371,184,"Olfr472","olfactory receptor 472"
"3381","ENSMUSG00000052508",0.423146099490342,6.01131324369606,11.0327374313726,0.000895168637534569,0.0140925119794728,2869,1684,1282,3050,2751,1708,"Olfr536","olfactory receptor 536"
"3457","ENSMUSG00000059043",0.606509906177359,4.49203376520613,10.7935781841123,0.00101852812912207,0.0158087042013031,663,594,569,795,1236,771,"Olfr15","olfactory receptor 15"
"3519","ENSMUSG00000075121",-1.56334280131724,-0.214468267341476,10.6627294853983,0.00109315957959994,0.0167314146766546,55,66,10,18,15,6,"Olfr1195","olfactory receptor 1195"
"3613","ENSMUSG00000063230",0.945535421576824,1.5726604388228,10.4177992600274,0.00124806533066115,0.0188406574573779,73,64,67,128,176,94,"Olfr535","olfactory receptor 535"
"3643","ENSMUSG00000075068",0.463025080380915,5.66236664711662,10.358025342935,0.00128913024059698,0.0191975881775388,2238,1315,952,2416,2346,1242,"Olfr140","olfactory receptor 140"
"3665","ENSMUSG00000050028",0.610267296690109,3.63490164124919,10.3019234523784,0.00132891620556504,0.0195262087804357,312,454,253,351,756,456,"Olfr745","olfactory receptor 745"
"3680","ENSMUSG00000051424",1.24018862086289,0.379654369359372,10.2760261269275,0.00134769899763806,0.0195416354657519,17,37,21,49,106,30,"Olfr1184","olfactory receptor 1184"
"3713","ENSMUSG00000058904",1.39006679212036,0.00488253249325721,10.2005861564106,0.00140396021196667,0.0199348089673754,23,23,9,36,74,32,"Olfr1413","olfactory receptor 1413"
"3718","ENSMUSG00000050030",0.819616331255251,1.71320141459602,10.1913709378564,0.00141099373816269,0.0199348089673754,62,99,80,105,195,125,"Olfr728","olfactory receptor 728"
"3729","ENSMUSG00000055838",0.941898745080889,1.00979170231125,10.1597003798671,0.00143543947926681,0.0200234722297725,57,62,23,92,131,45,"Olfr357","olfactory receptor 357"
"3756","ENSMUSG00000059610",0.593073763564085,4.14418923128462,10.106230415191,0.00147768902746685,0.0203551663533559,642,511,321,839,562,741,"Olfr222","olfactory receptor 222"
"3776","ENSMUSG00000066749",1.11963760809953,0.547464291306306,10.0711858361647,0.00150606069232855,0.0204898627524205,18,45,31,58,89,50,"Olfr877","olfactory receptor 877"
"3831","ENSMUSG00000050134",0.827439035658156,1.88848051800099,9.9514850567366,0.00160719694864169,0.0215991589927212,74,110,84,105,243,140,"Olfr430","olfactory receptor 430"
"3837","ENSMUSG00000057564",1.00661199916924,1.21189084350765,9.92642647541382,0.00162922534301452,0.0216314015421928,54,46,53,103,140,70,"Olfr1508","olfactory receptor 1508"
"3883","ENSMUSG00000095917",0.785536976383701,4.40266822034146,9.81222936082376,0.00173355237352068,0.0227425561383308,984,610,153,872,1548,335,"Olfr740","olfactory receptor 740"
"3898","ENSMUSG00000095586",5.25484834376481,-2.99335762281443,9.77540365218966,0.00176861888345185,0.0229296236419287,0,0,0,7,7,0,"Olfr1287","olfactory receptor 1287"
"4050","ENSMUSG00000073950",0.738393795655633,2.93805405117371,9.5095056779499,0.00204410220630978,0.0261930305971323,228,295,104,363,318,278,"Olfr599","olfactory receptor 599"
"4077","ENSMUSG00000043383",0.831759505828696,1.28277166137284,9.46121180210972,0.00209862384424536,0.0265825686937746,53,66,56,93,89,128,"Olfr1342","olfactory receptor 1342"
"4133","ENSMUSG00000061489",0.880281472445985,1.85093361231642,9.34793907425645,0.00223236361513423,0.0279552807258855,72,65,122,124,172,164,"Olfr525","olfactory receptor 525"
"4151","ENSMUSG00000051156",1.03201345826528,0.812512008132236,9.32339920662057,0.00226245887940411,0.0280138166865543,38,42,33,77,118,45,"Olfr1491","olfactory receptor 1491"
"4205","ENSMUSG00000095910",1.62399848614082,-0.708746630142681,9.24010744279107,0.00236771060569276,0.0288843861029449,7,16,6,19,42,25,"Olfr469","olfactory receptor 469"
"4212","ENSMUSG00000045514",1.67455909904333,-0.682642122888956,9.22663980020803,0.00238518977801088,0.0288843861029449,4,11,14,23,32,32,"Olfr460","olfactory receptor 460"
"4261","ENSMUSG00000050788",0.804922975476445,1.84404904425963,9.13955975445359,0.00250141283064257,0.0299625754279143,48,131,97,118,187,148,"Olfr419","olfactory receptor 419"
"4308","ENSMUSG00000075136",2.60161515869657,-2.07929737044875,9.03558042493549,0.00264774973735168,0.0312657104834015,2,2,1,10,16,6,"Olfr1164","olfactory receptor 1164"
"4326","ENSMUSG00000094612",0.779060825524843,2.07708779016753,9.0048557015259,0.00269263248534179,0.0312657104834015,91,113,112,165,230,146,"Olfr491","olfactory receptor 491"
"4328","ENSMUSG00000096273",1.89357877089571,-0.996462866323366,9.00303257146594,0.00269531986925875,0.0312657104834015,3,15,4,22,29,19,"Olfr1474","olfactory receptor 1474"
"4345","ENSMUSG00000044985",0.699370137339456,3.99352527707009,8.95927858107432,0.00276063884718072,0.031689833433262,390,460,363,618,1098,388,"Olfr124","olfactory receptor 124"
"4357","ENSMUSG00000070374",0.748827440644792,1.60188584950066,8.93934173752294,0.00279093279999512,0.031707298408192,73,100,61,124,143,115,"Olfr59","olfactory receptor 59"
"4397","ENSMUSG00000108167",0.707756757309283,3.73050689865812,8.87602306785192,0.00288940275144586,0.0324910391029932,440,268,331,470,688,509,"Olfr1386","olfactory receptor 1386"
"4423","ENSMUSG00000049217",0.702768130659546,2.22981769240018,8.82199858195501,0.00297620515546438,0.0331290715285025,132,125,108,219,214,156,"Olfr788","olfactory receptor 788"
"4504","ENSMUSG00000055088",1.77612000285604,-0.624265365767821,8.66131389355336,0.0032503684256483,0.0358190600506443,7,14,6,30,18,46,"Olfr354","olfactory receptor 354"
"4519","ENSMUSG00000064121",0.744722142566334,2.33686935635769,8.63240186819656,0.00330235879438477,0.0360316771426932,93,162,136,204,259,176,"Olfr96","olfactory receptor 96"
"4776","ENSMUSG00000063881",0.778186751592583,1.98524546815525,8.18627194845695,0.00422085735692669,0.0447998647357941,54,193,77,121,210,161,"Olfr376","olfactory receptor 376"
"4777","ENSMUSG00000111567",1.05761222679717,0.609901043187575,8.18603582056249,0.0042214067923786,0.0447998647357941,23,45,26,48,133,33,"Olfr1251","olfactory receptor 1251"
"4779","ENSMUSG00000075159",0.727704942188574,2.05087179622534,8.1832320113036,0.00422793641789708,0.0447998647357941,88,125,106,163,224,138,"Olfr1110","olfactory receptor 1110"
"4811","ENSMUSG00000062497",0.665003250042632,2.18902136148196,8.14605626188729,0.00431549108179397,0.0448644380704473,117,149,98,171,243,156,"Olfr1411","olfactory receptor 1411"
"4812","ENSMUSG00000067528",0.986642847646514,0.585792887815048,8.14348734318514,0.00432160903680864,0.0448644380704473,27,73,12,56,101,36,"Olfr1424","olfactory receptor 1424"
"4845","ENSMUSG00000109884",2.1275772119056,-1.54289785405904,8.0945130531033,0.00443994655691132,0.0448644380704473,2,8,2,17,16,14,"Olfr490","olfactory receptor 490"
"4848","ENSMUSG00000036647",0.572739064617697,2.91977035415175,8.09018643121171,0.00445055838918911,0.0448644380704473,191,241,195,281,365,275,"Olfr6","olfactory receptor 6"
"4856","ENSMUSG00000108948",0.649398512656787,2.27255350504826,8.07574800346934,0.00448615853286217,0.0448644380704473,89,161,135,135,244,217,"Olfr695","olfactory receptor 695"
"4866","ENSMUSG00000073900",1.27762379217831,-0.0688531036138805,8.05998370144023,0.00452535907949502,0.0448644380704473,12,26,17,47,35,47,"Olfr704","olfactory receptor 704"
"4870","ENSMUSG00000057050",0.646453649482075,2.38318939842295,8.05242315757648,0.00454428320756882,0.0448644380704473,98,203,123,160,310,181,"Olfr397","olfactory receptor 397"
"4876","ENSMUSG00000051706",0.721322128186287,2.02866900489486,8.04627754800981,0.00455972510334855,0.0448644380704473,87,159,80,174,183,152,"Olfr1325","olfactory receptor 1325"
"4889","ENSMUSG00000043880",1.4759612437521,-0.266485510950302,8.02993393582535,0.00460105176623276,0.0448704340388363,13,10,19,46,46,25,"Olfr323","olfactory receptor 323"
"4937","ENSMUSG00000075379",0.835283873624583,0.965820183684172,7.96922077105443,0.00475794163204187,0.0459934357764047,49,60,33,84,117,52,"Olfr358","olfactory receptor 358"
"4966","ENSMUSG00000050504",1.11111950301198,0.172662579602386,7.92375013005966,0.00487900377496762,0.0466496794557903,21,48,8,40,79,29,"Olfr1323","olfactory receptor 1323"
"4973","ENSMUSG00000075081",0.787630569564576,1.15226315313393,7.91211133822876,0.00491049257429372,0.0466496794557903,34,79,55,69,123,88,"Olfr1247","olfactory receptor 1247"
"5032","ENSMUSG00000051680",0.682886155140665,1.88844048218355,7.8028997211044,0.00521624592202698,0.0487600243405213,88,113,89,126,192,144,"Olfr693","olfactory receptor 693"
"5034","ENSMUSG00000049456",0.713900696217213,1.52606749921771,7.80120936230588,0.00522112783319557,0.0487600243405213,45,115,67,78,170,112,"Olfr1404","olfactory receptor 1404"
"5049","ENSMUSG00000058802",1.22741337680092,0.208484591592885,7.77793401780785,0.00528882470403517,0.0489771833936702,12,21,38,51,54,48,"Olfr97","olfactory receptor 97"
"5083","ENSMUSG00000111259",0.676332348745266,1.97094449594171,7.74334961435838,0.00539107078046928,0.0495080000006429,79,142,93,143,184,157,"Olfr1328","olfactory receptor 1328"
"5128","ENSMUSG00000063386",0.795795733897227,1.8652421951659,7.68243041163335,0.00557610195699657,0.0507840029471919,86,109,73,185,106,174,"Olfr1387","olfactory receptor 1387"
"5149","ENSMUSG00000089717",1.9538101526737,-1.42493943413156,7.64135780167464,0.00570449607907998,0.0515274973700503,6,3,4,15,25,12,"Olfr275","olfactory receptor 275"
"5183","ENSMUSG00000045392",1.28830566963292,-0.380134276651573,7.60000153756331,0.0058368251050791,0.0522845323304554,10,19,14,27,48,29,"Olfr1033","olfactory receptor 1033"
"5193","ENSMUSG00000066899",1.13585895545513,-0.0236622220565778,7.58573535699037,0.00588319601540515,0.0522845323304554,16,31,14,41,65,26,"Olfr870","olfactory receptor 870"
"5249","ENSMUSG00000048425",1.35787878472524,-0.208760988073514,7.50692700350928,0.00614621458849651,0.0541850278121852,7,33,12,39,48,29,"Olfr686","olfactory receptor 686"
"5258","ENSMUSG00000037924",0.663076620349116,2.28307901231899,7.4897300361328,0.0062051858091638,0.0542707520769723,65,194,140,132,254,208,"Olfr16","olfactory receptor 16"
"5271","ENSMUSG00000109058",0.81481266862893,1.19477304016059,7.47297510854541,0.00626319665099789,0.054346792987399,50,56,58,63,134,98,"Olfr705","olfactory receptor 705"
"5281","ENSMUSG00000063660",4.61748055680072,-3.29993331607806,7.44950523035883,0.00634538891981843,0.0546298327315618,0,0,0,1,5,3,"Olfr98","olfactory receptor 98"
"5327","ENSMUSG00000075086",1.26131504004124,0.836342137115497,7.37476929140149,0.00661452761600633,0.0560712533222782,17,43,42,81,144,33,"Olfr1241","olfactory receptor 1241"
"5328","ENSMUSG00000070382",1.02803275981643,0.469559355563085,7.37475609249766,0.00661457616324516,0.0560712533222782,16,47,30,54,89,40,"Olfr391","olfactory receptor 391"
"5361","ENSMUSG00000075101",0.592067995827115,2.69028480182358,7.32608149824113,0.00679610575545112,0.0571702942176117,171,214,146,253,348,197,"Olfr1222","olfactory receptor 1222"
"5410","ENSMUSG00000062199",3.26663560820891,-2.6027492871925,7.26630220349733,0.00702603081587879,0.0584837130894297,0,0,2,4,10,6,"Olfr1465","olfactory receptor 1465"
"5416","ENSMUSG00000047050",1.46719114415859,-0.870592897281528,7.2580525280606,0.00705837916596565,0.0584837130894297,10,10,7,27,28,19,"Olfr914","olfactory receptor 914"
"5467","ENSMUSG00000049168",0.532643472005569,3.33802301160133,7.18029439234371,0.00737086121450696,0.0603653941101391,304,282,263,408,478,334,"Olfr449","olfactory receptor 449"
"5471","ENSMUSG00000078118",1.26132632986113,-0.30478230520634,7.17442012044669,0.00739503466866495,0.0603653941101391,7,24,17,28,41,38,"Olfr483","olfactory receptor 483"
"5521","ENSMUSG00000095218",1.3932901742034,-0.380591568299844,7.11511952972119,0.0076436507438718,0.0619360523510789,6,29,8,32,61,13,"Olfr1338","olfactory receptor 1338"
"5570","ENSMUSG00000068950",1.36581850681248,-0.553621786563789,7.05433337527483,0.00790737302465748,0.0636052925049091,5,20,13,22,41,28,"Olfr338","olfactory receptor 338"
"5597","ENSMUSG00000075119",0.815245852719595,1.1705394642009,7.0175746511235,0.00807134862066266,0.0644538128983351,43,59,62,88,127,73,"Olfr1197","olfactory receptor 1197"
"5631","ENSMUSG00000109835",0.954103439797966,0.392972902147362,6.96895347119506,0.00829359874324204,0.065752128165847,29,39,20,45,93,36,"Olfr730","olfactory receptor 730"
"5654","ENSMUSG00000072707",0.762920046058223,1.83996668179675,6.93949574764374,0.00843128782463259,0.0663662798767508,59,131,83,139,232,92,"Olfr31","olfactory receptor 31"
"5690","ENSMUSG00000109547",0.664192348710424,1.7984061298041,6.89783408938683,0.00863002407203506,0.0671226893753831,130,86,64,163,143,119,"Olfr1294","olfactory receptor 1294"
"5692","ENSMUSG00000063827",0.69118120784645,1.34832751744261,6.89386558707388,0.00864920316815282,0.0671226893753831,56,93,52,101,138,78,"Olfr1382","olfactory receptor 1382"
"5730","ENSMUSG00000094080",1.16362346812828,0.00249361024824941,6.8476631088065,0.0088757293322359,0.068398977091776,13,36,12,47,74,16,"Olfr8","olfactory receptor 8"
"5772","ENSMUSG00000075097",0.654303735139884,3.12207641998346,6.80630913781631,0.00908363296348629,0.0695150244844576,174,287,229,335,545,230,"Olfr1226","olfactory receptor 1226"
"5799","ENSMUSG00000096858",0.662210730856885,1.99585234373064,6.75801282311503,0.00933276341725381,0.0705403414396148,131,107,80,164,207,125,"Olfr805","olfactory receptor 805"
"5821","ENSMUSG00000043357",0.966825154641784,0.220749696993132,6.73344357018178,0.00946217556722237,0.0705403414396148,29,37,14,45,72,34,"Olfr187","olfactory receptor 187"
"5832","ENSMUSG00000043312",0.477134734979767,3.38244344377661,6.71989538329656,0.00953432195884702,0.0705403414396148,284,353,266,410,428,393,"Olfr131","olfactory receptor 131"
"5833","ENSMUSG00000094422",1.00986644966201,0.200550508489603,6.71900575576069,0.00953907904759722,0.0705403414396148,20,28,27,52,60,38,"Olfr205","olfactory receptor 205"
"5845","ENSMUSG00000047702",0.718976325738724,1.15242228053099,6.69845638761186,0.00964964171600449,0.0705403414396148,40,67,60,54,110,113,"Olfr1388","olfactory receptor 1388"
"5849","ENSMUSG00000092413",0.946462166530292,1.06170265948233,6.69678169931709,0.00965870977529377,0.0705403414396148,60,40,37,112,136,37,"Olfr115","olfactory receptor 115"
"5854","ENSMUSG00000110259",0.610111988361665,2.18820446750286,6.69549349193144,0.00966569106840457,0.0705403414396148,87,226,78,146,290,125,"Olfr65","olfactory receptor 65"
"5866","ENSMUSG00000108114",0.911233739763723,0.360140648248491,6.67838154098962,0.00975891936247432,0.0707521653779388,27,27,34,54,56,53,"Olfr800","olfactory receptor 800"
"5904","ENSMUSG00000051593",1.07278228107773,0.493456211670292,6.63130797550639,0.0100201660146382,0.0721713918178516,16,54,26,70,54,59,"Olfr272","olfactory receptor 272"
"5941","ENSMUSG00000075127",2.56455472735161,-2.17547845947536,6.58275398415295,0.0102971456945511,0.0734963867560284,0,4,1,8,19,2,"Olfr1179","olfactory receptor 1179"
"5946","ENSMUSG00000058491",1.54734169307311,-0.978517793484373,6.57578956206334,0.0103375135636882,0.0734963867560284,7,8,8,25,32,13,"Olfr869","olfactory receptor 869"
